Minisector,VER,PER,Fastest
0,307.42842922851906,304.89176052105404,VER
1,250.39248807093594,235.96583472055386,VER
2,192.18364470579417,193.92800596801067,PER
3,266.5051079923782,270.5066086645397,PER
4,220.97345214539118,225.95664133333332,PER
5,112.8060572803348,110.28214265288112,VER
6,179.3738513710162,175.41450958445253,VER
7,257.8203699753086,257.6487948830138,VER
8,289.0975087723189,288.58714224695666,VER
9,306.57238595445136,304.95196692008284,VER
10,313.26889727370764,306.9211507219769,VER
11,229.85037977782625,226.83216056666666,VER
12,144.73846639020405,147.033253426544,PER
13,259.1692017100529,258.6949653003169,VER
14,294.66049840625817,294.21321423847616,VER
15,307.23325227359305,305.26195659130434,VER
16,299.8594021478088,298.02300006400003,VER
17,246.19271377865354,255.94925607619047,PER
18,177.47173517298958,176.48250590661894,VER
19,178.9937493814616,182.19391066142455,PER
20,174.20710863442287,166.76835309569162,VER
21,237.5097816398961,240.3782795423656,PER
22,121.59889017665279,122.2594465992052,PER
23,195.0286703710707,189.26665923618285,VER
24,279.4304558284475,287.37950011733335,PER
25,,308.42500053333333,PER
