Minisector,BOT,PER,Fastest
0,265.64967938461535,264.3578407137948,BOT
1,252.6031937241925,249.18256434567903,BOT
2,173.24304245283557,167.1611354211795,BOT
3,250.6378558018405,247.49314199161904,BOT
4,276.6744790920635,272.2218410524791,BOT
5,193.44096944021908,196.46068105770308,PER
6,127.19294244277317,122.56149049938756,BOT
7,165.55943307515858,160.32711253853657,BOT
8,262.6650395704632,258.01252978649603,BOT
9,183.6830368,176.01897047017542,BOT
10,189.6496733742095,185.3881872980213,BOT
11,260.6853807725714,259.2684995413333,BOT
12,242.3147903916975,249.8489401914779,PER
13,263.31480924038095,257.4711305377289,BOT
14,288.1408014041805,284.0690520950964,BOT
15,287.03083997083354,281.87991227301586,BOT
16,156.31470287539085,149.53083330885127,BOT
17,245.66040489876542,239.0538678095238,BOT
18,288.29249054545903,284.71642824986293,BOT
19,300.2033530801674,296.99829541818184,BOT
20,305.00795447272725,300.53219684848483,BOT
21,308.75122751304775,304.8963515337778,BOT
22,152.40457895196297,149.38714209866532,BOT
23,98.35445079555426,92.55300820859452,BOT
24,184.89509012683752,182.2960626074074,BOT
25,246.16418138561,,BOT
