Minisector,LEC,HAD,Fastest
0,289.9154519352539,297.79263271771094,HAD
1,165.11301835125747,160.36217993343635,LEC
2,149.27301837089604,161.58417593044987,HAD
3,231.37099523226465,225.94735323694363,LEC
4,293.0781585438939,285.81825390732695,LEC
5,291.3443923123722,294.42511017744584,HAD
6,146.48381958379125,146.48481336808206,HAD
7,141.00371295324933,133.51286616568098,LEC
8,139.95475914073333,139.83670119572344,LEC
9,193.49743842440017,184.51572355176174,LEC
10,127.03310452767776,134.65752062908166,HAD
11,123.83796708920146,130.9847825824628,HAD
12,174.84124496388344,161.30830992659068,LEC
13,271.684616809651,265.5894212413135,LEC
14,295.40599748448966,292.5828091894136,LEC
15,154.26626814889784,145.97960995392236,LEC
16,202.79919873980893,212.98420821062695,HAD
17,175.7423125723968,168.76959428947833,LEC
18,274.0300480053648,267.51333997161265,LEC
19,298.50065077647844,295.07012493957313,LEC
20,314.4654165138624,309.81457304430165,LEC
21,322.52922965174963,318.192501690474,LEC
22,327.7304085142122,322.10071313916495,LEC
23,332.67530831253976,325.62422461353384,LEC
24,330.808230612633,321.94538341370315,LEC
25,327.0,316.21338933197944,LEC
