Minisector,VER,BOT,Fastest
0,259.9925980052481,268.5614836448391,BOT
1,134.75549646380196,132.86533836976542,VER
2,264.36411456809213,269.77372532244897,BOT
3,306.3925345587302,312.253830426501,BOT
4,303.8758887964444,310.20850693333335,BOT
5,312.03592575303577,321.21214847445884,BOT
6,318.06739130434784,335.2465911143687,BOT
7,318.2992452967903,339.19873177971016,BOT
8,202.4513566701145,199.50285441538392,VER
9,205.5089937788043,206.51454680856395,BOT
10,186.56521953021704,178.6433565003874,VER
11,168.2108853122565,172.37551073144516,BOT
12,256.7351997057471,259.0998131644578,BOT
13,280.46733735430996,275.94309935520283,VER
14,282.96570465641025,281.39811973141434,VER
15,280.7514835223635,270.25315892019705,VER
16,186.72644853296592,191.16360030082168,BOT
17,194.02489396434677,195.44616834956372,BOT
18,243.70345626434727,248.36124465908128,BOT
19,289.6060891076923,292.72809335738503,BOT
20,311.42518089275364,312.4580732,BOT
21,319.1300594793651,316.5345497043478,VER
22,318.7174106095238,315.0204860888889,VER
23,256.66480345440675,245.23606572424708,VER
24,118.03915745324035,117.65463597948049,VER
