Minisector,PIA,SAI,Fastest
0,304.88092105006103,292.58690556341446,PIA
1,322.34406757079364,304.38941662400003,PIA
2,329.3374448536961,309.2961768451019,PIA
3,332.43945723928766,313.6342341461612,PIA
4,196.08132439844798,196.38196484403827,SAI
5,216.04113768549686,211.53151296653593,PIA
6,268.09604215111113,268.18401764,SAI
7,259.9543765481349,274.0803927754377,SAI
8,189.5835166278458,183.19219735633746,PIA
9,147.26510787098414,139.44622146967092,PIA
10,174.4368732520458,177.0124808606419,SAI
11,256.54086216274567,258.840893999407,SAI
12,249.22007236155844,247.24602235151514,PIA
13,222.65475762680776,226.68169330943343,SAI
14,265.82318751466664,274.2382302780952,SAI
15,163.353916700778,160.99471224532823,PIA
16,217.19150037145482,220.1038624993789,SAI
17,237.31089616195786,237.91844156401578,SAI
18,133.8661126223939,133.08347208885436,PIA
19,237.7842743073716,242.61237799561025,SAI
20,279.35449135771427,283.00227927131823,SAI
21,242.25271039152418,251.33920702187285,SAI
22,139.38221246625233,135.92362162193695,PIA
23,208.64076304390406,206.43243380173382,PIA
24,273.33614094484943,272.5644872960111,PIA
25,284.48333226666665,,PIA
