Minisector,RUS,BEA,Fastest
0,296.8299523356914,306.45488937168045,BEA
1,305.3689275140773,324.21136066400453,BEA
2,289.29620567741927,298.2931439438961,BEA
3,109.33598616360315,105.0208001901643,RUS
4,234.4234478379149,224.61816556942225,RUS
5,278.69652500116877,284.42500707312627,BEA
6,190.9139797058782,200.37328658652555,BEA
7,164.79157016889536,153.8022991261998,RUS
8,198.86040124285032,199.7447163757804,BEA
9,208.17780702312925,211.47098369766235,BEA
10,123.22095708558824,106.6459392106485,RUS
11,232.11498031705406,223.01300053301776,RUS
12,114.81526393010333,117.60690160514842,BEA
13,225.40718107238095,220.68786902614931,RUS
14,282.00820516087003,285.5217338968259,BEA
15,203.32858975632183,214.3517510771735,BEA
16,195.75788713521968,173.6936661910534,RUS
17,241.76213122452106,245.0507969813258,BEA
18,189.45694721733832,202.33394252147758,BEA
19,192.6412152667858,164.68645069952683,RUS
20,267.2674514055032,259.80591589333335,RUS
21,294.50057079920634,289.29739767823446,RUS
22,174.1948901128319,178.1757834505243,BEA
23,217.79843376229272,199.23673553560772,RUS
24,274.3854369567347,271.8327569625397,RUS
25,287.0333340444444,293.9488240638648,BEA
