Minisector,NOR,HAM,Fastest
0,278.237145778319,285.77155813075166,HAM
1,297.02377498744124,312.6885666682572,HAM
2,234.4652011976014,225.60477432586208,NOR
3,109.63735250177525,106.5613906126706,NOR
4,124.2532853581793,126.33115380558229,HAM
5,250.01943440871963,252.15920734222223,HAM
6,241.0152542464469,247.43977485434377,HAM
7,121.59979570197522,114.93001064421907,NOR
8,244.9703897020586,248.84766025915062,HAM
9,251.09633181153146,251.66202854176248,HAM
10,208.00731195588244,210.31112112140121,HAM
11,131.97536252901403,130.16997493405827,NOR
12,205.97917232722833,191.14945337895534,NOR
13,259.6738572621,259.60330823080955,NOR
14,111.62951542245705,110.73806107311863,NOR
15,186.5264134000205,180.63643035109536,NOR
16,257.0028712780424,251.28935611887772,NOR
17,288.53783356395604,287.90853694040817,NOR
18,302.8263951879061,304.5732524926958,HAM
19,308.14640359017545,320.48593140625803,HAM
20,309.31593756,329.9132854416569,HAM
21,157.86645354409288,174.46714127711994,HAM
22,143.4687728202919,125.44335590848056,NOR
23,191.03903491444314,186.8679217601361,NOR
24,233.88070164540966,222.32411972175015,NOR
25,,265.68000256,HAM
