Minisector,HAM,VER,Fastest
0,305.1404513333333,296.3139273414588,HAM
1,289.7810588756849,286.53168559720893,HAM
2,181.50345331317496,185.15905208828434,VER
3,205.21052862641505,212.5828717196215,VER
4,228.63890562723893,226.6097367082061,HAM
5,268.7897953599224,267.501999744,HAM
6,238.0113113904762,243.92256211618135,VER
7,213.04583195235213,218.26252557014692,VER
8,169.0070472800993,180.46724153386145,VER
9,178.9063566596491,177.69255162646428,HAM
10,184.2151117259941,195.23862352623294,VER
11,209.7007844327246,211.71840817370895,VER
12,241.50171096155046,256.0442787598268,VER
13,172.35000761442308,178.1405796731973,VER
14,249.76155035202822,244.02039966463346,HAM
15,277.17972740491524,274.25078952379334,HAM
16,264.26916740266665,275.9221791527204,VER
17,250.15043418773433,273.25100002133337,VER
18,244.13120938703906,263.84663438380903,VER
19,244.08898883809525,257.9061588161172,VER
20,258.6742525835326,262.64857301434023,VER
21,189.21512852932224,211.04284893765796,VER
22,224.73287535167955,220.17917669986747,HAM
23,279.08251414603177,272.4751663786667,HAM
24,297.8940396572221,285.0913043478261,HAM
25,303.25416640000003,285.9347221333333,HAM
