Minisector,STR,GAS,Fastest
0,307.3824065777778,291.30426041890314,STR
1,325.176077934156,300.1558634145081,STR
2,336.87303915742297,304.80674336842105,STR
3,315.4351880888889,292.1818908452563,STR
4,165.04364309634755,167.86486342495405,GAS
5,204.0990950659612,209.1078095664135,GAS
6,234.46754834307066,228.96977320266092,STR
7,266.4909085090909,263.45114013495225,STR
8,251.97490318975804,253.09003742608692,GAS
9,162.0084658381101,159.47314812104884,STR
10,228.34489598536325,226.8688347220929,STR
11,130.0533715384988,136.71927122727493,GAS
12,225.56970339268483,222.2442299897436,STR
13,187.15309250752688,185.5294509052914,STR
14,221.10234306174073,216.7262897114609,STR
15,243.09937933913042,235.44795410576407,STR
16,257.3794845846606,254.59851221468256,STR
17,283.974352576975,277.5478741260771,STR
18,122.53481333263494,128.18441281987228,GAS
19,159.83683454074074,159.92152131160228,GAS
20,144.77661310935628,144.34903785885226,STR
21,159.02479261120294,161.53197232885353,GAS
22,117.10385030592808,116.4539678092305,STR
23,227.07273252693332,226.2014874783883,STR
24,270.08890631341995,269.59920856970314,STR
25,283.3374976,283.03958346666667,STR
