Minisector,OCO,LAT,Fastest
0,267.1841107287267,268.9483325333333,LAT
1,286.81421973333335,289.8476504880708,LAT
2,292.6666676210526,295.80637032535907,LAT
3,124.13723919817181,123.15308730204767,OCO
4,191.3188164361059,184.80222376744567,OCO
5,251.3786024607108,247.87890902089998,OCO
6,137.70993014041363,141.78918836993708,LAT
7,201.1599463108949,193.5945108804233,OCO
8,256.28333280000004,255.43517525777978,OCO
9,274.9911194395665,273.2782927775868,OCO
10,235.7759120608195,228.11699985066664,OCO
11,178.69218984889847,171.59666128680075,OCO
12,188.13244700738528,184.42286543448276,OCO
13,151.77693725031367,144.32979110818215,OCO
14,179.64859114217572,171.29940805835813,OCO
15,161.47523158009744,157.2574610785187,OCO
16,213.75129964016207,214.24220200438663,LAT
17,230.5413787055885,222.74144743407732,OCO
18,232.69063018408656,231.3437459069564,OCO
19,239.35985037575756,239.32618116810286,OCO
20,142.44366577234928,138.75821721208987,OCO
21,132.66349102199425,136.4631540738676,LAT
22,167.34954927546434,164.20189695163336,OCO
23,148.6734490695178,146.72783124427286,OCO
24,223.74999795555553,219.5376581342714,OCO
25,253.14999893333334,255.175,LAT
