Minisector,ALO,GAS,Fastest
0,289.46766132155847,283.9668939393939,ALO
1,153.9176030374687,154.70618281316789,GAS
2,173.66972794766082,175.27297621471862,GAS
3,254.8934306973336,251.88371936907828,ALO
4,288.55187093696145,279.79941379518453,ALO
5,247.59232629629628,243.5622453548896,ALO
6,228.28341334857143,218.92915549302833,ALO
7,160.32717017522197,150.75618945277813,ALO
8,228.42307142942497,229.27715571717172,GAS
9,280.0490219270669,280.4547727030303,GAS
10,299.15158646627185,299.3600888313213,GAS
11,307.5644607843137,308.229644089685,GAS
12,309.82282988888886,309.87083333333334,GAS
13,308.0025999975064,301.08889111619044,ALO
14,131.47350513125363,131.73761682185787,GAS
15,120.78199807310328,121.10620090977334,GAS
16,104.35846471735684,101.26213923292383,ALO
17,233.99370553812244,229.198391056704,ALO
18,289.92284549761143,286.29823701043085,ALO
19,307.0010875755899,306.7286470882382,ALO
20,315.7688016108392,316.5473376480994,GAS
21,320.3824305422222,312.6121716612345,ALO
22,128.5607928280061,112.07044881512266,ALO
23,200.98294844980248,199.40942512504316,ALO
24,269.1581619198629,268.503709141175,ALO
