Minisector,LEC,LAW,Fastest
0,307.6392123146667,301.46618648161615,LEC
1,316.90594258285716,306.5884354176871,LEC
2,303.3071726242226,294.3283710731208,LEC
3,181.95886505489503,171.6803833247711,LEC
4,217.93992359009525,213.15938296008466,LEC
5,199.47740152900366,196.1471343211687,LEC
6,182.2984135526816,175.1185844387998,LEC
7,199.4610751687542,199.8407406231186,LAW
8,253.7989551884146,255.13294573496594,LAW
9,260.6596022044444,261.14290384646466,LAW
10,177.72626151798409,167.27898969368164,LEC
11,230.27694995063453,230.8137773238251,LAW
12,124.37582062862599,125.60459243412345,LAW
13,240.40527657235396,233.26813889079364,LEC
14,281.0375295639979,275.4515813056379,LEC
15,276.3986310215963,273.1254244796687,LEC
16,210.3025524514139,202.52930008380952,LEC
17,198.04163524777778,190.53706466285715,LEC
18,288.8936398217197,287.7637827952655,LEC
19,319.08102714612227,317.7960637416572,LEC
20,322.5955002453333,325.5745656916243,LAW
21,302.28658953815784,301.5776123631746,LEC
22,281.2209515784242,253.451050750379,LEC
23,123.08452240487091,124.19064852668153,LAW
24,248.40994210044713,250.5702218597125,LAW
