Minisector,PIA,GAS,Fastest
0,259.31056469960225,248.56778378112458,PIA
1,130.4513662348753,128.74246487195768,PIA
2,198.8840184152381,202.48262173454856,GAS
3,248.42780208586905,248.81820826557825,GAS
4,257.9486094177499,251.3686219102041,PIA
5,175.25995559546487,173.48326737505045,PIA
6,142.87795292536208,149.03325886445586,GAS
7,183.1948983103855,189.4097802123667,GAS
8,101.82980234772879,105.05628357537168,GAS
9,69.45099618545703,72.94066556140812,GAS
10,93.19021221136956,99.19206205973431,GAS
11,182.5957736182857,190.8997697945098,GAS
12,243.67084433886114,246.1331042624442,GAS
13,269.559938416459,269.59246669668676,GAS
14,274.8040012994687,270.2062819265306,PIA
15,113.97275405609935,111.47282239990217,PIA
16,151.10136765835048,158.8201645809524,GAS
17,184.77410980078227,184.17184860995297,PIA
18,201.84922968055002,200.61904470007352,PIA
19,205.4022228454902,207.82265951492064,GAS
20,136.45800176488513,133.9327159327312,PIA
21,108.14458452653595,102.91896668072134,PIA
22,96.20420123716404,95.60908053359725,PIA
23,197.46995666240898,200.01413531863255,GAS
24,251.18051524155487,249.8162593683942,PIA
25,,265.12,GAS
