Minisector,RIC,ALB,Fastest
0,276.6589381608533,272.40276046531585,RIC
1,290.4575120954114,292.8264900440398,ALB
2,228.24690268441404,245.2064444289294,ALB
3,114.86177465198404,126.92108941100987,ALB
4,140.82828379322356,124.76325646829082,RIC
5,248.9738320537093,238.30861899799606,RIC
6,248.15834202299334,268.2555907267616,ALB
7,125.69202139370155,121.73700464713158,RIC
8,243.55618587117428,231.91270391882998,RIC
9,244.57684077681353,243.16635187028047,RIC
10,204.61732242206625,210.9854012337676,ALB
11,140.23224626769536,144.28035377482215,ALB
12,206.9124919815068,183.63883864679428,RIC
13,255.67251454409939,256.23970614701517,ALB
14,115.2375757742049,119.67969486861027,ALB
15,188.1039105614049,171.73131982606108,RIC
16,254.0328347434676,246.6941595379487,RIC
17,284.15461877976924,280.83288777723357,RIC
18,294.5944403290761,294.90300002423754,ALB
19,297.4196326457442,300.02017549473686,ALB
20,297.0866227087719,301.90043156801784,ALB
21,152.37497499944578,206.46292025126434,ALB
22,153.062882489913,125.77965176078615,RIC
23,193.5994520922736,200.51027774654838,ALB
24,232.82625909911022,218.6690856077271,RIC
25,263.0166656,256.6500010666667,RIC
