Minisector,LEC,HAM,Fastest
0,303.294194976254,291.10609580649196,LEC
1,318.1464255775438,305.9098957714286,LEC
2,324.9298120894074,311.1852525252525,LEC
3,326.8230468324066,310.62517371555555,LEC
4,195.9873971419666,189.47501747916772,LEC
5,205.2692687441013,214.08411698082537,HAM
6,264.66682779602337,268.56508810989897,HAM
7,263.82652485229437,265.04564369045556,HAM
8,185.52445069985993,184.80411287430098,LEC
9,150.65282773101455,139.429291009774,LEC
10,173.96397438943129,178.5697014065745,HAM
11,256.4891595293906,259.2480906808163,HAM
12,254.28578914708993,247.39659459378882,LEC
13,227.77452725307361,230.55162114272116,HAM
14,270.25034930391166,267.2634721939394,LEC
15,172.6182788606277,165.61207692679514,LEC
16,212.13593694099487,221.78711080675555,HAM
17,244.66366116968945,229.55406743263862,LEC
18,134.21628934027916,130.64642680712691,LEC
19,235.55105611550033,239.15088981590816,HAM
20,276.9492025070051,279.3998187037681,HAM
21,242.6318495292904,238.8091494434376,LEC
22,136.84644867794,137.7226947569524,HAM
23,209.3381590561286,211.3950816519634,HAM
24,268.74602202666665,269.7142231453543,HAM
25,282.5833333333333,,LEC
