Minisector,SAI,NOR,Fastest
0,294.41036852002986,295.3487922300936,NOR
1,246.90254281180702,246.40459096531387,SAI
2,205.09072199389416,202.09337726052453,SAI
3,270.06345752492876,267.85919706333704,SAI
4,231.46506123236225,224.44951184217686,SAI
5,118.19586413983855,117.92698320842887,SAI
6,180.12231663221706,179.97567039450004,SAI
7,259.28655635489037,257.5715712513464,SAI
8,288.77787312217316,287.34324056619624,SAI
9,301.03629529817476,301.1570182366542,NOR
10,302.1754043977246,304.11083992686724,NOR
11,215.03904490150978,222.37679582387636,NOR
12,148.73112827381746,146.16869015011068,SAI
13,259.23578507492124,254.44287465380683,SAI
14,289.28448848384755,288.1201035100849,SAI
15,299.1436507936508,300.320837418877,NOR
16,297.41139304796803,295.01924612063493,SAI
17,265.2325474576484,264.4209812367204,SAI
18,194.41929278105306,192.33479007792545,SAI
19,189.85117251475248,188.24953219269,SAI
20,186.24189546033162,183.292237332287,SAI
21,253.04797269182015,246.3790195184747,SAI
22,128.17092087624613,127.10760543810304,SAI
23,199.23562484172848,201.2408961278198,NOR
24,276.3791844463171,277.48629820858844,NOR
25,288.0,,SAI
