Minisector,RUS,LAW,Fastest
0,117.04362431826559,238.154000128,LAW
1,160.37087361670635,219.57242700529102,LAW
2,204.82967916748922,205.6128788040404,LAW
3,224.2409642112554,223.3328225139394,RUS
4,258.04511748195614,245.39184175157894,RUS
5,277.99786446162466,264.20611137015874,RUS
6,289.35562511999996,262.2830271460832,RUS
7,297.12333030352505,175.07845198476193,RUS
8,269.36071825900126,117.28576696727274,RUS
9,246.93678208,139.6935873376344,RUS
10,198.77835419826087,183.62242185548413,RUS
11,200.06458337777778,135.16670215344584,RUS
12,182.25237766658074,105.80596153435897,RUS
13,135.82541979350398,128.04382729876545,RUS
14,146.89000192,178.70618049777775,LAW
15,190.36771026666668,156.93103448275863,RUS
16,222.03508485537992,134.294186670176,RUS
17,168.33518472853754,142.93552968666143,RUS
18,108.24624255311709,194.18401720076193,LAW
19,145.22102283636363,232.7777276509091,LAW
20,189.81675515555557,268.84389025452896,LAW
21,170.74503870306876,290.7420494802721,LAW
22,159.2936809255914,294.0,LAW
23,147.97164750957856,313.16117654588237,LAW
24,178.73461612307693,320.50971314228343,LAW
25,200.4193627711856,323.15681823030303,LAW
26,,323.53348188571425,LAW
