Minisector,NOR,LEC,Fastest
0,261.47085352893544,260.5184936886131,NOR
1,133.51817734544218,131.83842425218248,NOR
2,269.11954775254486,269.85940317633475,LEC
3,311.4376052649908,311.1957720639821,NOR
4,311.3550504740135,309.7745289999724,NOR
5,318.5697863936811,318.28056397696037,NOR
6,322.4405493236364,323.3782891319596,LEC
7,322.63138014444445,322.86082007773587,LEC
8,206.7935901084543,204.05265908830827,NOR
9,206.78338295042363,203.2512522365812,NOR
10,182.38227859868888,182.9167151741313,LEC
11,175.07705791865695,171.0765942540547,NOR
12,261.15019059739797,256.12680594682666,NOR
13,279.72437348988717,285.1269061423076,LEC
14,289.9162849608211,286.2360732926984,NOR
15,275.8337330697143,279.75531177782483,LEC
16,183.713801623908,169.89860434411415,NOR
17,200.59279342886174,197.6473916096089,NOR
18,251.33790225710763,247.29336873003584,NOR
19,293.9617247294092,292.63349093527273,NOR
20,313.3696037288312,311.4016333241684,NOR
21,318.01344698181816,317.7027904487619,NOR
22,316.221627015873,316.30807273014983,LEC
23,264.7231916551661,278.1191433676191,LEC
24,115.48445805697901,115.47222649492124,NOR
25,231.36249813333333,229.8166656,NOR
