Minisector,LEC,HAM,Fastest
0,253.53401689014925,247.2014824911207,LEC
1,127.56927779478372,135.8814243185423,HAM
2,275.9934024135233,277.97189297978656,HAM
3,314.95554582995413,315.58477352116523,HAM
4,298.62910882047294,297.9146787871862,LEC
5,326.63980670694366,320.58843966846246,LEC
6,339.2240548362659,320.8224867115344,LEC
7,326.59928145454546,316.527008818563,LEC
8,204.8165964161506,196.15812841445123,LEC
9,186.97119898716684,189.3546560481147,HAM
10,181.05544247349405,174.76986000012383,LEC
11,164.17399904666064,171.15296717746114,HAM
12,246.47986904956446,248.02589179697924,HAM
13,264.1734807814331,263.3999146109319,LEC
14,256.86895167311826,267.0825830260779,HAM
15,249.58626299681856,249.34355377339904,LEC
16,178.78534113676656,174.26347030645536,LEC
17,190.8314814706455,188.56102669213996,LEC
18,250.41434118908154,254.90264165050965,HAM
19,297.1728487692449,303.865918657077,HAM
20,315.8025221849599,316.1999129471119,HAM
21,290.6818348761921,290.7556091279015,HAM
22,272.0069050660534,275.1937829867752,HAM
23,236.14205271802481,229.6743239549634,LEC
24,122.59054620371754,117.98396132732888,LEC
25,223.13784859944283,,LEC
