Minisector,LEC,COL,Fastest
0,250.52169986888887,241.73241297026524,LEC
1,286.2675604076872,279.6548809194374,LEC
2,182.7975978692789,191.20297520619312,COL
3,162.28640765928608,165.58169704130108,COL
4,257.4765884639318,254.50800686917185,LEC
5,272.44682827580954,267.94127362055934,LEC
6,234.1672028383067,239.59262147565715,COL
7,217.59335405714288,213.06039281705947,LEC
8,162.3837270749655,163.1375966976994,COL
9,217.24061318179895,217.6480765144178,COL
10,273.93532564343593,269.5172698261264,LEC
11,125.26487178738941,131.23199040169703,COL
12,207.91877574357963,212.57198412698412,COL
13,273.90224910506663,273.7581401070928,LEC
14,299.1780549688889,294.49656084656084,LEC
15,310.06020474828284,305.17808585858586,LEC
16,256.90894552673967,240.1446444593728,LEC
17,130.67663945459765,130.00579536587637,LEC
18,132.50290015740782,131.99204800459484,LEC
19,124.79085068484869,122.7416221334604,LEC
20,220.0177989272193,227.57161195286196,COL
21,253.4903732104258,261.48748343994197,COL
22,243.83448660483515,237.31638234193792,LEC
23,217.03220010111923,221.00389904310632,COL
24,138.74016603177228,138.58647095842073,LEC
