Minisector,SAI,RAI,Fastest
0,312.5353164600823,327.1565733116949,RAI
1,235.0895706247737,225.13508566936534,SAI
2,132.02538136495357,130.93833792289976,SAI
3,221.84879960401395,221.0607316474277,SAI
4,267.38726957615023,265.84619328164945,SAI
5,292.76299749955314,297.3308627696749,RAI
6,306.5544444444444,318.82876862316226,RAI
7,272.0605709893253,276.8146889711096,RAI
8,169.27621780108925,166.214400694095,SAI
9,243.68251554644203,241.21644755087718,SAI
10,271.538935667934,275.6758429298261,RAI
11,256.50272524173107,260.9537729083216,RAI
12,203.80089739686605,204.04970972161323,RAI
13,125.59257865018508,125.1846751342852,SAI
14,122.77861680437013,123.94956658677084,RAI
15,162.79798472632584,165.52949203980663,RAI
16,125.26344055639986,121.2190622650567,SAI
17,227.06144558288236,231.57772808776204,RAI
18,180.46015301482032,181.94836814843077,RAI
19,162.12030464545433,160.57746972263735,SAI
20,250.42656422149125,249.3042778741994,SAI
21,279.613330187894,277.80041093605297,SAI
22,295.2366666666667,295.99580674833777,RAI
23,303.08919994416283,312.0668498426288,RAI
24,307.1763889777778,322.80036847405256,RAI
25,309.0,326.22500053333334,RAI
