Minisector,RUS,VET,Fastest
0,254.1490893135129,250.74842151947433,RUS
1,123.85994280808956,125.97840477913559,VET
2,259.98537486961044,258.0004025801166,RUS
3,300.8003448275862,301.3207975514286,VET
4,298.5258264442182,302.9897518380513,VET
5,307.56386904761905,311.03518979582867,VET
6,310.98718325333334,314.9662674377778,VET
7,305.8976355959629,315.60220780524554,VET
8,187.35764065220852,182.8812825429223,RUS
9,190.02957506317208,184.74361156875526,RUS
10,172.54871362372307,172.97833196414334,VET
11,180.43036378662848,169.8067849196948,RUS
12,255.15516547806445,251.37677391598038,RUS
13,270.0782560262128,266.05586581364605,RUS
14,279.2433405008562,276.7665613160874,RUS
15,260.7737821453324,256.3826724673016,RUS
16,171.7878540622297,164.89381908147234,RUS
17,182.7820624108588,169.25445528704216,RUS
18,236.4075082452381,233.70758912583094,RUS
19,279.3508426992974,276.4559985330403,RUS
20,298.57215906943503,298.28183303314233,RUS
21,304.15404759682536,307.26373241359204,VET
22,302.20272039478925,306.25856247874293,VET
23,235.3004336195955,225.30407037269842,RUS
24,109.91285626420984,110.38359219646307,VET
25,224.2250048,,RUS
