Minisector,LEC,MAG,Fastest
0,281.55954074525573,276.88447689981996,LEC
1,304.2649679722449,303.5005251485002,LEC
2,318.54993704067226,317.6035925688889,LEC
3,325.4810732250245,323.76922613333335,LEC
4,329.5099064642177,327.9306349298492,LEC
5,331.97972222019047,330.0035417866667,LEC
6,205.01389865805922,195.08007950812856,LEC
7,112.22046266736865,106.74103330123509,LEC
8,198.35376583825993,188.73090873208355,LEC
9,269.60572373979795,267.1723127932773,LEC
10,297.7283657037331,292.76265834714076,LEC
11,166.77392348081634,164.6131274806803,LEC
12,95.5614184938839,94.24891602728104,LEC
13,123.2966715338453,119.63596758806675,LEC
14,227.65933945043477,224.2718879055238,LEC
15,195.53071519048524,196.27679248539025,MAG
16,238.59548634745826,231.74703587784128,LEC
17,188.33091246324804,187.3062147067998,LEC
18,243.2363191661376,242.12564591255466,LEC
19,283.3912366447972,279.73285557530863,LEC
20,252.93162691291863,245.90767884793433,LEC
21,153.35840824819624,146.86556037167443,LEC
22,98.43824939015622,97.10172557737495,LEC
23,128.22731761365057,123.60255323862114,LEC
24,231.97273812813853,228.4490354387095,LEC
