Minisector,SAI,TSU,Fastest
0,297.81451284172334,289.7060003337143,SAI
1,315.2177509822825,300.1535234900585,SAI
2,318.6059523047619,306.5166665955556,SAI
3,318.21805546666667,309.6464223472278,SAI
4,185.1814264376081,191.2885866458413,TSU
5,220.86002526346005,217.5772486725544,SAI
6,268.3915048432468,266.5046594448254,SAI
7,262.93359662576444,254.7996213708309,SAI
8,192.79878070412835,191.6088775471921,SAI
9,137.91012223116485,145.32778963593537,TSU
10,185.4189609607159,180.97050840067735,SAI
11,261.39058842352944,264.0389545597929,TSU
12,248.92024196672324,244.85393395824917,SAI
13,225.17623505493336,226.62594769416899,TSU
14,268.93890610713436,264.8090810845781,SAI
15,162.0991826872829,167.7228582193696,TSU
16,219.83075390522887,231.5887634727619,TSU
17,237.63605855832597,240.85168461056824,TSU
18,130.90071598522914,132.56590107166764,TSU
19,242.13162059580952,246.2277256950917,TSU
20,286.02031311238096,284.7784135923809,SAI
21,252.8579609962482,241.1513419522244,SAI
22,137.3508995175037,139.28906848055394,TSU
23,210.41641410111723,214.18716639501753,TSU
24,269.9791038440248,268.6996483857571,SAI
25,286.81000192,,SAI
