Minisector,GRO,PER,Fastest
0,291.19309677876,295.64313725490194,PER
1,298.15000064000003,302.29222293333333,PER
2,161.53054235704653,165.17986133333335,PER
3,221.95208325333334,227.46400237304252,PER
4,271.51666714074076,279.8638603086421,PER
5,294.0156248,300.85833333333335,PER
6,303.1333331911111,308.3863889066667,PER
7,170.58087190875224,167.3038710138476,GRO
8,133.29851222857144,135.02344474177977,PER
9,249.5779338495699,254.57870370370372,PER
10,284.11718766666667,288.2716144666667,PER
11,296.5588230901961,294.607107827451,GRO
12,148.62403705855587,138.1443178989899,GRO
13,196.96557027288767,200.2396637630138,PER
14,258.8964708429632,262.7074074074074,PER
15,193.99864132173914,190.67093115051844,GRO
16,218.9768949818182,219.8267042909091,PER
17,208.85102794805195,207.11780339393943,GRO
18,240.86937905608465,243.93188797871775,PER
19,271.9635877764506,279.34726875070027,PER
20,289.46348047058825,292.7888020666667,PER
21,246.14758631214778,245.743934114936,GRO
22,214.44526496969695,209.38623248695652,GRO
23,199.86684864927537,204.2076310217996,PER
24,262.6550936296296,269.3463231372549,PER
25,281.05,,GRO
