Minisector,PIA,ALO,Fastest
0,274.74411761045195,271.448582776,PIA
1,231.90427837121024,247.82534509968255,ALO
2,119.00886768097479,116.61604820032521,PIA
3,171.91505484937326,170.59667857460317,PIA
4,187.96168976737326,192.12233956915352,ALO
5,202.27771293735276,198.2528755978836,PIA
6,267.6723217038961,264.555985674908,PIA
7,289.2873530729412,289.46210467463203,ALO
8,230.37519588431246,219.19283026845,PIA
9,147.97762899175868,146.50025514417692,PIA
10,123.31038173015763,121.4562082415142,PIA
11,161.5390959678673,150.39905676523907,PIA
12,244.2506344645066,244.21463200484848,PIA
13,149.54353884773107,146.9122733740872,PIA
14,153.75696000694754,147.60984845403365,PIA
15,105.61358544224353,104.32466047710157,PIA
16,222.61228442923928,215.72786261671956,PIA
17,237.1247889760571,233.8386867506897,PIA
18,128.36424733360067,128.57798969558442,ALO
19,241.37993861626376,240.77569957185185,PIA
20,278.9152531714286,277.2246234927561,PIA
21,193.99942912228215,202.94627820571404,ALO
22,156.53450265730612,148.4122404203896,PIA
23,217.89788332603075,212.51030110827838,PIA
24,233.02088587202124,228.37173581240287,PIA
25,258.3333333333333,,PIA
