Minisector,PIA,HAM,Fastest
0,299.2296970354545,295.3007354215092,PIA
1,305.6160056532383,306.4136364350877,HAM
2,308.62339573048126,311.9339445949556,HAM
3,302.19914682539684,314.87405864744574,HAM
4,172.91500081574605,156.56974120202483,PIA
5,215.51718338686817,212.95485506937197,PIA
6,245.51820669018633,240.98126746719564,PIA
7,271.15977745775325,273.27956117974935,HAM
8,261.3758834527442,241.31317673047621,PIA
9,169.49386663449354,157.60179883230214,PIA
10,224.8332769341082,217.1591414178054,PIA
11,135.00481511698095,128.22710140131142,PIA
12,232.85445702216177,235.94233617822707,HAM
13,181.08650312622333,175.61987109494177,PIA
14,221.57684891927275,223.81805101030002,HAM
15,249.26826578434898,242.38635999529697,PIA
16,270.74850894857144,272.5838595583109,HAM
17,288.419704892506,301.1802287653874,HAM
18,157.9105687597279,144.28514717604335,PIA
19,179.11075612164257,169.02420368224182,PIA
20,143.52062682617853,137.5241536115006,PIA
21,236.037381277308,233.46291107091787,PIA
22,267.7938158135338,265.39218261303427,PIA
23,258.0944134433417,248.7318266011427,PIA
24,279.9615820746572,279.0628504141923,PIA
