Minisector,VER,ANT,Fastest
0,290.5731459526494,303.5935391255411,ANT
1,160.10046424752883,159.84613704591658,VER
2,155.01885433974195,153.0390170635358,VER
3,227.83295660228063,237.14775486224485,ANT
4,285.77956817916305,291.36851974635283,ANT
5,295.7638665935997,278.0520516488808,VER
6,151.06574765549772,145.05072649623045,VER
7,143.46450151517107,152.41124845747896,ANT
8,142.45861267629076,137.02143915231574,VER
9,185.98180311312268,203.42944769082933,ANT
10,131.42802653269297,124.73207443623137,VER
11,130.61715624305128,124.1609667930467,VER
12,166.45264741502632,182.9141848360099,ANT
13,267.8509124484183,273.473211903169,ANT
14,296.4294636523565,296.555194049202,ANT
15,159.53570788340514,141.42401017736668,VER
16,219.87084153983056,197.39672827628493,VER
17,171.9265494896623,187.12006082749545,ANT
18,271.1006781710793,275.49717106794725,ANT
19,294.2955206059467,298.14780943896517,ANT
20,307.66621857707315,312.72145105215634,ANT
21,316.2335968163724,321.79048551756887,ANT
22,321.22499163875557,326.43531012836263,ANT
23,323.55105639746097,330.16847959354914,ANT
24,322.0910966288048,329.492620174581,ANT
