Minisector,VER,BOT,Fastest
0,291.2260420266667,297.1192756592108,BOT
1,304.77745104313726,308.4645664717087,BOT
2,183.45938686701328,159.4166737606396,VER
3,226.69010484444445,219.6061741015873,VER
4,274.47421447271716,279.9624990877193,BOT
5,292.2787282526316,306.8795088937202,BOT
6,299.7907408,317.3237045064426,BOT
7,202.27392334038538,158.65483306658123,VER
8,125.23999189900331,123.28827374706535,VER
9,249.0924606984127,253.44841117460314,BOT
10,284.941009122807,291.1009255703704,BOT
11,302.1543859649123,303.96851868783074,BOT
12,160.25371482597401,144.96674319361279,VER
13,192.2826447564626,198.8841531125485,BOT
14,258.99333942131517,257.6167391950472,VER
15,217.30849928533334,203.5530872493827,VER
16,227.02807966497895,221.39580767496057,VER
17,221.95190915555554,212.81522457435898,VER
18,244.87959913584262,242.7651971504275,VER
19,277.3180140992481,273.84424553650797,VER
20,295.9685186962963,289.78055543703704,VER
21,273.7915589561059,262.84279721245065,VER
22,235.7531050600414,221.15216729600002,VER
23,214.09608528058607,205.79181460025526,VER
24,270.89904083959175,262.12724271510064,VER
