Minisector,PER,LEC,Fastest
0,287.9746965985351,292.19520773333335,LEC
1,293.467695421188,304.1992296605042,LEC
2,169.07327114761904,160.73153795860975,PER
3,220.25610660935158,218.63619314792243,PER
4,270.6829971716344,278.52324611662027,LEC
5,291.78981481481486,304.5539209411765,LEC
6,300.40661586715436,316.0399508705882,LEC
7,177.96471804675244,181.61491663254688,LEC
8,121.2964043773711,119.0204064893511,PER
9,245.6687074829932,251.694966983296,LEC
10,282.26137756967285,293.8204826877125,LEC
11,293.22112787468575,312.2352941176471,LEC
12,153.75059774291972,142.31895966758867,PER
13,188.49470554094174,192.31688932649942,LEC
14,254.97021311518233,259.5554185784555,LEC
15,210.39585047351383,190.37241423448276,PER
16,217.488,207.2069248775031,PER
17,216.6154563589946,203.48086463209876,PER
18,242.7775359536232,240.19417714414595,PER
19,275.27085881276565,278.11980848140547,LEC
20,289.7780700631579,298.4814814814815,LEC
21,268.42229168,262.5788789798034,PER
22,227.22214470579252,223.3608007564739,PER
23,206.1066997278434,205.5164698742403,PER
24,263.1216268698413,269.5816696121091,LEC
