Minisector,OCO,KVY,Fastest
0,232.92873604463855,235.29514422248624,KVY
1,282.28750026666665,286.9093196432283,KVY
2,299.5212227982587,305.88307895608204,KVY
3,304.93124995555553,312.0838767768116,KVY
4,262.266780828196,253.1004514506751,OCO
5,164.80800516589147,165.5098663655606,KVY
6,261.7479775746201,265.8729280902998,KVY
7,282.52147442051285,282.9225308839506,KVY
8,205.3473235449375,201.87418370683451,OCO
9,218.06119585280317,220.5123688302725,KVY
10,179.49614528,171.53749925079364,OCO
11,225.10199669563278,228.37437087591965,KVY
12,201.18518459259258,197.0410239680622,OCO
13,204.2849350448335,208.43307768163265,KVY
14,218.03666671935613,224.07410331069568,KVY
15,176.88267234285715,167.5549689637166,OCO
16,245.7457190694253,255.81436866206897,KVY
17,287.51744543296707,303.6618533432712,KVY
18,301.4521739594203,323.1865943188406,KVY
19,287.8867511794872,297.3931699111111,KVY
20,126.51986700951633,123.10360329826189,OCO
21,153.50995854707512,148.40440997208114,OCO
22,148.63100331601674,154.64397363646614,KVY
23,196.15333636727593,195.66654008498432,OCO
24,146.4803800645294,140.95457940513327,OCO
