Minisector,OCO,GAS,Fastest
0,287.88482699298896,289.1583538578413,GAS
1,298.8504388491228,297.7338241896649,OCO
2,302.7942984421053,302.2067460063492,OCO
3,302.38442767719295,302.2995628350877,OCO
4,170.00120454179896,175.42891587878788,GAS
5,201.86871107359397,213.0866484946292,GAS
6,225.80366737066666,235.92345995185468,GAS
7,260.5479474210658,263.5477455167982,GAS
8,251.91448885797104,259.59772824242424,GAS
9,158.98710718290098,164.72744829480973,GAS
10,225.828334336,231.3414845704231,GAS
11,130.4100980252398,134.31131312757336,GAS
12,227.77728791161906,227.45705062564105,OCO
13,182.3867778873939,194.09855802673397,GAS
14,214.15602054320988,216.99580263221208,GAS
15,236.82281445369117,248.54580892851297,GAS
16,257.0480083014493,261.4957555659303,GAS
17,280.49226224761907,282.53306540952383,GAS
18,160.31501855438597,164.57057500388973,GAS
19,167.8399144056561,171.3465376133693,GAS
20,140.98983910797088,144.40358618870397,GAS
21,164.9598840660759,166.5817642841537,GAS
22,111.45558651465684,112.60362670673858,GAS
23,216.76594131320888,218.42747177142857,GAS
24,265.6296588079382,268.6933728893999,GAS
25,280.3625024,282.1749994666667,GAS
