Minisector,RIC,STR,Fastest
0,288.75338387473295,306.99765383822313,STR
1,295.72028985507245,323.4341270857143,STR
2,284.6319938285714,290.8057979494824,STR
3,113.23746035011776,110.05721310657005,RIC
4,221.3051087462287,223.1573588141892,STR
5,275.35437829828294,272.6856664746667,RIC
6,220.51639624946236,211.132242742357,RIC
7,157.17986583092755,162.30546066616262,STR
8,209.25493087045228,206.43230520697006,RIC
9,215.33669388387096,219.33255077596672,STR
10,118.79903011851117,119.52701887526467,STR
11,230.16240769556103,226.58335984899148,RIC
12,125.69208814286976,123.03703470118174,RIC
13,226.268535245977,226.4336109511111,STR
14,279.4918733463548,275.39577123060707,RIC
15,223.4825778285714,209.0985508112841,RIC
16,188.4823179811278,194.52321852344016,STR
17,246.63422605714285,246.42127083185727,RIC
18,205.42753949415805,197.313468334866,RIC
19,176.7421057122807,184.0854771863202,STR
20,262.9164670748079,263.7454632997492,STR
21,285.18985497971016,279.45709114037265,RIC
22,176.25227993225297,175.97663695041848,RIC
23,211.5632486242071,217.18325939233964,STR
24,271.1245035962846,267.7317285870859,RIC
