Minisector,PER,HAM,Fastest
0,279.41859830787877,298.3446192722404,HAM
1,292.4420609105473,310.54505684734403,HAM
2,297.79032120117785,316.8137854317488,HAM
3,297.82619762229274,306.92404150462085,HAM
4,168.63010107598228,161.8696630793241,PER
5,203.43906475720163,203.28403408237367,PER
6,232.15823288318217,226.00939197898097,PER
7,263.89675268244895,261.0459292202769,PER
8,252.00902863480468,238.85904713460317,PER
9,155.18648475564004,153.53964665837495,PER
10,216.8773777542798,219.45901003290044,HAM
11,131.39065860502163,125.31751461838769,PER
12,223.41815232433748,224.07052871655915,HAM
13,175.52635330521406,174.4531926579634,PER
14,211.91127697772984,220.03666052185355,HAM
15,226.23423015902807,222.19842640045172,PER
16,255.61433201874894,248.5851703097744,PER
17,283.66484937142855,276.7698532509778,PER
18,153.14393744279113,155.8439730807667,HAM
19,164.27727968170373,167.59616222766925,HAM
20,139.96438484401355,137.77874013730286,PER
21,153.58134135869707,154.4693528063492,HAM
22,110.9591965904933,109.4533956134093,PER
23,217.58644956675323,207.39698575785104,PER
24,263.40286845765047,259.2303469927135,PER
25,,275.0947912,HAM
