Minisector,ANT,SAI,Fastest
0,299.143806699581,284.2613781412448,ANT
1,148.27124537975604,144.63276896772203,ANT
2,228.75538204111615,223.39817688743054,ANT
3,276.90279498512075,282.37726049102304,SAI
4,314.19315264366753,313.2459211064935,ANT
5,311.59545664758605,296.7213670552611,ANT
6,152.4855252171709,157.16688545531463,SAI
7,258.5632730552381,243.46300002942527,ANT
8,121.09343610604827,111.39301185901671,ANT
9,160.83529882848686,173.7552070181061,SAI
10,279.4953602441742,278.10864236345594,ANT
11,301.57970643483,299.29063113650795,ANT
12,226.5909419806349,225.7482831965368,ANT
13,168.58596372931052,167.68028534559306,ANT
14,277.0345455619048,280.9609590177655,SAI
15,313.82923883204626,312.6561717953741,ANT
16,327.5201386821256,327.6267019385635,SAI
17,336.4314541385621,335.24434680945325,ANT
18,338.9408729904762,339.7942176653061,SAI
19,340.11747304450216,336.09304469485716,ANT
20,194.96255759856217,191.0723440642902,ANT
21,176.43580489537817,178.83777805792428,SAI
22,280.6817143970696,282.5595170218128,SAI
23,312.7387263216213,312.2612174700345,ANT
24,327.0092900281129,321.57585008549097,ANT
25,,317.77499985454546,SAI
