Minisector,PER,GIO,Fastest
0,277.55383101809457,271.8126738222222,PER
1,296.79318204675326,288.4733134610969,PER
2,232.00846932204584,222.64166569195402,PER
3,128.23907338107662,126.9149977458458,PER
4,186.37350856906383,183.74460122740035,PER
5,118.26456936582092,121.6591281866755,GIO
6,214.16046634876847,209.29019341291573,PER
7,264.4948739937443,258.3929185128814,PER
8,175.69958699542101,177.96397930669139,GIO
9,182.03058223399643,174.5644854215948,PER
10,266.97152693333334,260.17078597485715,PER
11,183.2438210705288,195.91003751143782,GIO
12,166.01662840877896,160.49041730666667,PER
13,259.54989710795485,254.27806575339358,PER
14,276.28260823188407,268.7731626401656,PER
15,289.99346295924886,282.41656775686107,PER
16,201.26720626236562,202.391369,GIO
17,198.8050090534627,193.94605654761904,PER
18,244.36048346373627,237.5088605069597,PER
19,285.86161592981716,277.5081944444444,PER
20,297.2760009489177,288.5440193451247,PER
21,204.0396124374947,225.59689685947978,GIO
22,146.37312024744895,138.82344934718614,PER
23,156.88745036250683,158.95321260937934,GIO
24,227.4198381505754,215.82262487024065,PER
25,261.61250240000004,256.57549317093793,PER
