Minisector,HUL,PER,Fastest
0,270.11302062459697,270.7979968727526,PER
1,241.63537198466864,241.89671317713575,PER
2,117.53979627362702,118.06963447686064,PER
3,176.3263434905888,172.69692863223904,HUL
4,191.1060717077334,184.51560203283617,HUL
5,197.56824590241035,200.29066086108753,PER
6,266.0734807159605,272.73349136367864,PER
7,288.5336689805483,298.48190080262475,PER
8,234.98085878817508,219.7784890814971,HUL
9,145.20990321470398,144.4751774217664,HUL
10,116.247471545114,115.64452532766887,HUL
11,151.32324259015613,154.49707149887382,PER
12,242.43297210217787,240.752608524058,HUL
13,154.96167434119207,145.60189772620376,HUL
14,140.97550715746755,148.10868727007542,PER
15,107.05476964768182,108.66164806109079,PER
16,217.34882846666667,226.33473958161179,PER
17,238.2654728145446,218.96566796429235,HUL
18,124.74346722476191,129.04832544706528,PER
19,239.15766647574898,247.1615005374403,PER
20,276.7755661355199,286.83725668017314,PER
21,204.00201461979643,173.971717974979,HUL
22,147.79888898710144,152.4446823980342,PER
23,215.42847487459446,207.7135487406865,HUL
24,220.95691706818195,226.30617934763637,PER
25,253.84642651428572,,HUL
