Minisector,PER,NOR,Fastest
0,245.45064112598638,258.66616437864906,NOR
1,125.08936476283004,131.5597641637816,NOR
2,196.2460212063492,202.031664431746,NOR
3,243.01532807697834,243.07748221074775,NOR
4,258.67122783818047,257.3724638401776,PER
5,175.3561388639599,185.0299926069841,NOR
6,141.4893732848023,146.00920565077828,NOR
7,187.41828692938273,183.9697958760393,PER
8,98.55535305630806,103.67116381643298,NOR
9,75.07123701759396,74.73630437043174,PER
10,94.81124625656565,96.42174610120652,NOR
11,185.6756509189418,178.07317772190476,PER
12,244.2155157350649,241.06064448358543,PER
13,265.2434815691274,265.39675201088437,NOR
14,270.0948564356343,274.8107693128205,NOR
15,105.97164087024028,131.9689039763355,NOR
16,151.10019801553034,145.89083685413576,PER
17,183.11160722577927,193.1197046505719,NOR
18,200.17373136181013,195.17871052365552,PER
19,210.40441226459544,220.4356584142857,NOR
20,135.6770896843521,138.72894544642512,NOR
21,105.96115844961065,114.9471629997279,NOR
22,100.78566862710903,96.60739536876137,PER
23,200.6548791720635,192.57996193303984,PER
24,248.27209111362694,248.5249446387842,NOR
25,261.7454557090909,262.5375008,NOR
