Minisector,VER,OCO,Fastest
0,284.2310759225617,282.9825493127075,VER
1,300.2619704861111,296.8206221256288,VER
2,244.60059307840604,242.3905591619051,VER
3,117.82888753982279,115.88446031822549,VER
4,142.85726868971608,137.26473043677808,VER
5,251.43303780855618,252.21032434487984,OCO
6,260.3512358675355,272.3055051561077,OCO
7,126.54502758647736,123.43808883670899,VER
8,246.97560665504693,247.64973953174092,OCO
9,265.3576136862338,266.0412464397187,OCO
10,212.2091563306066,203.9271792105149,VER
11,143.07303187339778,141.28026134980448,VER
12,209.6993830214274,206.66704779059583,VER
13,263.5522193820106,267.92785591618804,OCO
14,117.2198056955963,120.9134812826165,OCO
15,195.70000045052174,192.84586690255267,VER
16,265.7415200074225,263.68611773859254,VER
17,291.63822285033444,291.78575502614717,OCO
18,304.8374242754543,304.91328750193776,OCO
19,311.77823137959183,310.9573214780952,VER
20,312.98130102728675,311.80527204716554,VER
21,176.91285903834074,170.35259530900152,VER
22,148.2173184133001,144.85805581391293,VER
23,206.41903354326612,204.57344269502343,VER
24,240.28468650487108,237.63447725249313,VER
25,,268.35000064,OCO
