Minisector,RUS,ANT,Fastest
0,322.29666103335785,323.21295493171715,ANT
1,332.24397532113517,332.867932793939,ANT
2,333.53954365079363,336.6802755833584,ANT
3,192.73269369543942,201.96205295989049,ANT
4,126.32520282883232,133.04288296403536,ANT
5,266.8533639376938,268.45335849224625,ANT
6,300.63218096250023,302.37760958780956,ANT
7,315.5769584762716,317.08018353499267,ANT
8,283.59839550442723,271.6874700378192,RUS
9,148.38995957751658,151.61294646718054,ANT
10,227.92276908178894,224.32729944130634,RUS
11,231.28889476778366,230.96727837622106,RUS
12,207.45214469402683,213.4777056353304,ANT
13,272.16287447197874,273.52115100603066,ANT
14,309.13888334610647,307.95309049379813,RUS
15,320.04677248677245,319.36336581019606,RUS
16,272.2315939486808,275.96315407146665,ANT
17,222.6448118371721,218.7368934599402,RUS
18,280.12462389100943,277.92094291932347,RUS
19,310.1550396825397,311.0863812734503,ANT
20,320.39643119264827,324.9919268476472,ANT
21,298.04411771294764,318.1283605546667,ANT
22,222.80635802469135,215.3658283505314,RUS
23,270.60572685749236,266.5086338223115,RUS
24,306.66775017253275,304.3323951720635,RUS
25,,315.73571474285717,ANT
