Minisector,PIA,NOR,Fastest
0,302.128556670295,296.84434027015874,PIA
1,237.52739036991454,230.1750103259843,PIA
2,126.78739370205129,124.53276759543326,PIA
3,236.30344317988107,241.38757759509429,NOR
4,193.67421167389782,193.28775289875225,PIA
5,250.16349373088434,249.74447131524695,PIA
6,234.37433602153754,237.24884759677957,NOR
7,253.90082086095236,259.82324301781836,NOR
8,291.41839935464714,284.66368670319594,PIA
9,204.4622433401803,209.98601665157116,NOR
10,203.98679846373759,206.9514306931055,NOR
11,274.92345687515154,271.2561129992958,PIA
12,218.86932661469734,218.9491075624373,NOR
13,257.04772291746343,252.8089396322607,PIA
14,292.91717932068116,290.9154196099856,PIA
15,307.37201534406927,305.6207903706481,PIA
16,305.35221360949686,302.53731064278566,PIA
17,207.85528911238097,208.72103035327035,NOR
18,262.0441611052237,263.2587599814966,NOR
19,295.00649822877784,293.45591868987174,PIA
20,309.64888414451445,306.4694427574026,PIA
21,307.126313068323,299.2580827934548,PIA
22,149.76641914926316,153.11566621889241,NOR
23,233.62241292272964,239.3135624364595,NOR
24,286.12119175005347,284.1925847047029,PIA
25,297.39000064,,PIA
