Minisector,PIA,TSU,Fastest
0,270.19363391252205,265.66124965333336,PIA
1,289.07093603990927,286.0154135627052,PIA
2,287.5798933665408,287.92655344858554,TSU
3,125.73819060977404,121.18403887212425,PIA
4,195.75220567809524,183.13300750567618,PIA
5,244.89065880987772,249.48111284506714,TSU
6,134.92659957370023,135.14005830759316,TSU
7,206.36040463492063,196.3736930651098,PIA
8,258.141256905732,254.37206206740723,PIA
9,277.39726690285715,277.1736937402801,PIA
10,230.39734885431636,227.31675700900206,PIA
11,169.51743257150858,173.46769952716434,TSU
12,194.95821364033014,180.64394406616418,PIA
13,139.9134939770538,141.8230380041762,TSU
14,176.69847123249167,167.83586985880834,PIA
15,164.46411769412893,158.1510996489938,PIA
16,224.80748214744688,215.7295475768617,PIA
17,232.3546792807321,227.9509042577909,PIA
18,238.98258360571427,233.66354016225506,PIA
19,227.06404070615372,234.80493217881067,TSU
20,145.93757553201536,142.20222515033637,PIA
21,129.37055807468678,130.90668423273306,TSU
22,164.89383262375918,165.79808885254513,TSU
23,150.3204252822934,142.85128498822087,PIA
24,227.67103071935497,222.39524854663645,PIA
25,257.97499999999997,251.57828606060735,PIA
