Minisector,LEC,GRO,Fastest
0,273.04670895620797,273.0743558984127,GRO
1,292.355043502514,292.83375158165256,GRO
2,233.1214531717796,236.08244777989418,GRO
3,126.59097787976478,124.16334527647183,LEC
4,181.33216921985002,180.09564724428623,LEC
5,119.61628147104089,119.91669130037862,GRO
6,210.08002164825396,205.4586784340166,LEC
7,260.8272507688305,262.0227500627596,GRO
8,174.61484642962964,182.28037602377873,GRO
9,181.05377711338704,172.68248957140804,LEC
10,263.06008536866807,260.4356407619048,LEC
11,188.9494372664368,191.78049466866045,GRO
12,162.44129942664753,159.30623633142858,LEC
13,254.81761973638095,252.72128440492233,LEC
14,271.047132053218,270.33616106666665,LEC
15,286.07841639089025,285.4739919075586,LEC
16,199.52580575018732,206.2709335545315,GRO
17,189.34615501386068,192.7144541634062,GRO
18,240.63752077367857,234.87932246913581,LEC
19,281.30823036024844,279.1419108571429,LEC
20,293.09265889523806,292.1521741449275,LEC
21,210.8753804141321,208.25402914408605,LEC
22,143.28257730909093,134.44349237267082,LEC
23,155.44734214912893,156.09961042342277,GRO
24,220.74530187553097,215.1477380922787,LEC
25,257.7250016,256.6142857142857,LEC
