Minisector,HAM,OCO,Fastest
0,253.20805177124777,257.09007261176424,OCO
1,210.57113279319142,205.868289015873,HAM
2,222.44567997667576,216.5300845596457,HAM
3,262.1383931428571,254.48505438256356,HAM
4,276.3804203934691,273.66000041813334,HAM
5,224.32872275268818,218.1491584251768,HAM
6,97.6501521137319,94.00908797981867,HAM
7,177.5011400752403,181.5942838270026,OCO
8,267.29674220130835,267.9126049423616,OCO
9,290.33920562916705,290.8970488,OCO
10,299.7372154501035,300.1189353438228,OCO
11,295.6831208264219,300.28387626666665,OCO
12,114.0450006933485,110.76177790991935,HAM
13,211.09545848332212,212.95688739714836,OCO
14,274.60728316559783,275.1274043076923,OCO
15,292.3991201722567,297.37027611775653,OCO
16,227.07414067788375,223.82217520860215,HAM
17,123.83593528208154,121.23144620554226,HAM
18,153.3941078320632,151.4192916369698,HAM
19,252.3146101300696,252.9439107106227,OCO
20,159.36027491288954,160.8561834714074,OCO
21,129.84229136013397,127.29032993727294,HAM
22,201.67436744066896,196.1638847041776,HAM
23,212.9743255019482,203.05288885102453,HAM
24,168.3564819148695,163.763000540697,HAM
25,229.541664,228.93749866666667,HAM
