Minisector,NOR,OCO,Fastest
0,264.27644135970695,259.68195693524035,NOR
1,244.18858175712307,239.2350978503401,NOR
2,167.60291205072036,159.31001238498462,NOR
3,251.13435095580863,245.22547953813702,NOR
4,269.93315209275363,268.56983327085715,NOR
5,193.8407328432719,186.18690517333334,NOR
6,120.29632566102735,121.09792780883846,OCO
7,161.24782085610232,153.39265866666668,NOR
8,261.24303562274224,253.83749952,NOR
9,178.6996564148148,176.13400925405406,NOR
10,185.00999713304225,175.45593605774434,NOR
11,260.65981506212376,252.25958186737037,NOR
12,259.76689546238464,233.12691719609947,NOR
13,269.8463894193013,255.94743577435898,NOR
14,288.28420705335884,283.3303046062374,NOR
15,280.0421909333333,283.8445652405797,OCO
16,145.8485474614646,144.0570126007371,NOR
17,241.75308211805094,232.79654173272655,NOR
18,283.79900866711796,280.379835832824,NOR
19,297.0922050684807,295.41739130434786,NOR
20,301.89153195897563,298.8440901108295,NOR
21,305.9963938330438,299.2295454545455,NOR
22,152.30435814374152,156.0488848373509,OCO
23,91.48471014605656,92.33932918861767,OCO
24,179.43359220279456,171.79880441335098,NOR
25,244.9166656,240.96428799999998,NOR
