Minisector,BOT,RIC,Fastest
0,287.553081707563,282.29629777777774,BOT
1,136.2684770995889,129.621403562477,BOT
2,155.52211814632577,167.62634856208163,RIC
3,223.8990559080015,219.96884977777776,BOT
4,167.38339763451478,170.99098737535755,RIC
5,245.47896719555692,247.13447941121777,RIC
6,225.00416789333335,217.71805785396828,BOT
7,138.1612749490196,141.13704967580423,RIC
8,235.12416602666667,237.36494727256095,RIC
9,277.2435112346717,275.87328409635853,BOT
10,286.45807386666667,278.68578560000003,BOT
11,151.9737194961511,146.74455863988547,BOT
12,220.56541685333332,223.31422958951515,RIC
13,270.65980878127954,269.96966708891733,BOT
14,272.75882202352943,266.4138890666666,BOT
15,105.50541804657988,104.75815900668232,BOT
16,218.5573684182224,220.74395749391502,RIC
17,271.27968516285944,273.71214307220976,RIC
18,293.1841148,294.5319841930159,RIC
19,304.5282937498413,304.72281098140905,RIC
20,310.9295771270296,310.099000010898,BOT
21,295.0631298761905,292.5174098,BOT
22,157.24515371556672,159.39902986666667,RIC
23,232.5189359458854,239.3658336533333,RIC
24,276.56586178151264,281.29962505054635,RIC
25,287.14285714285717,,BOT
