Minisector,MAG,ALO,Fastest
0,301.90717949307793,283.98519198154884,MAG
1,319.7908856,295.4755280166233,MAG
2,328.82307184782337,299.5453636213103,MAG
3,329.41893596190477,299.8506365464346,MAG
4,165.4460521379686,182.3311026085714,ALO
5,201.6757055723257,211.6905955367954,ALO
6,239.47089532000717,239.2387182165632,MAG
7,263.14590147018185,263.94399276110136,ALO
8,278.766353433263,271.70807178601495,MAG
9,164.43131552099797,161.4667552526091,MAG
10,225.17303662667,227.14271697706465,ALO
11,142.85055870402513,142.46625597818672,MAG
12,217.9147386939635,220.6820555657749,ALO
13,208.15393338023668,207.79803861211008,MAG
14,206.7489084920364,205.83293280949874,MAG
15,248.9242547711956,251.0111672630213,ALO
16,255.30936113586614,258.28155433828016,ALO
17,281.58068305302413,279.2184835190514,MAG
18,157.1387280693808,158.19603952284848,ALO
19,153.34087258317157,152.35741477233373,MAG
20,141.8873854632165,140.91368026235637,MAG
21,173.21671268840933,167.9943893591398,MAG
22,118.42022408688845,119.51460174325481,ALO
23,217.81339138669216,215.4775512364495,MAG
24,268.5274921945227,264.101057731646,MAG
25,281.48333226666665,278.0499989333333,MAG
