Minisector,LEC,STR,Fastest
0,261.25944484935326,262.14066140164203,STR
1,136.96930591738519,134.17818085779967,LEC
2,266.78139965170067,266.3314360739089,LEC
3,311.1791717995604,312.3684397349206,STR
4,308.6541505227278,312.26045959932037,STR
5,315.6074017391304,320.55922603636367,STR
6,321.35425358888887,327.3314236,STR
7,320.9215578898551,326.0949276753623,STR
8,212.16491569273077,193.8997658585407,LEC
9,195.69672506658935,187.58916560380953,LEC
10,194.48099857243108,182.9045093716967,LEC
11,165.287694849806,165.82770871710377,STR
12,252.45121281845715,252.93723673784797,STR
13,277.05824167032966,277.46183892204584,STR
14,281.5925929876543,279.513027112487,LEC
15,284.7977043162094,274.57530918521593,LEC
16,189.11237577458195,180.57084777328686,LEC
17,194.2130743572997,189.17619104380952,LEC
18,240.2565844313331,238.16585826038866,LEC
19,288.2377145478095,287.30298361546375,LEC
20,311.36799748591426,312.96489933168124,STR
21,319.7119877067362,321.58454961821946,STR
22,317.85368735877495,319.69875776397515,STR
23,272.98152410864196,254.7061144584127,LEC
24,116.90216418679007,113.386722953466,LEC
