Minisector,GAS,STR,Fastest
0,279.0190717005437,275.1806340280435,GAS
1,296.0578094994286,292.638773020314,GAS
2,292.93116175223037,290.80450354004495,GAS
3,174.22322783182221,174.86419848939593,STR
4,123.91189905385647,125.92498700152915,STR
5,237.11874342708427,238.27542931444881,STR
6,280.37546196067586,277.9296648274173,GAS
7,290.1947539949604,280.91300756726434,GAS
8,184.87167857605627,186.426688001884,STR
9,146.51906530391017,146.99527998378713,STR
10,255.4180232390258,252.76836609567567,GAS
11,290.44993571000504,286.9541945032411,GAS
12,302.07151254219576,299.73366634669395,GAS
13,284.86586596628086,281.03895457131324,GAS
14,293.7316757555907,292.45129115517295,GAS
15,297.9996920217033,295.53921142502253,GAS
16,264.32933016396026,257.38129782139856,GAS
17,228.9849493067713,227.91307656190477,GAS
18,275.39707096479646,273.6533924069936,GAS
19,294.352958368,291.99499995733333,GAS
20,300.0177684779842,297.26859323746487,GAS
21,234.0939991962154,229.50397989057961,GAS
22,261.7329338038739,253.3259505225598,GAS
23,143.10576753161328,144.36555422389497,STR
24,219.11150270123264,213.2046751335391,GAS
25,261.2750016,257.7166663111111,GAS
