Minisector,NOR,VER,Fastest
0,307.0153679965201,307.079594935456,VER
1,318.9031250755555,328.43862444021164,VER
2,306.96649850752266,317.96822894102445,VER
3,181.3235565533646,170.75599421530765,NOR
4,218.2508060363396,212.73317127036478,NOR
5,197.79959953538176,191.79431982962512,NOR
6,182.66005127726206,178.02351639273368,NOR
7,201.024045251772,203.40690687802493,VER
8,250.03014810666664,254.53363658140657,VER
9,248.49440351200877,253.89381083084174,VER
10,173.5197151252531,167.05233511268904,NOR
11,232.16293489812807,230.1443032507061,NOR
12,125.29826598071078,127.95048189080025,VER
13,238.09423934806776,232.8514840567462,NOR
14,272.684902434632,276.9516670222407,VER
15,269.54921678814816,273.9954545496104,VER
16,208.58139766123563,203.81541506709573,NOR
17,193.03104549899666,186.94759080752564,NOR
18,288.50099113897903,286.86865111253866,NOR
19,316.79260014265685,322.2537628648414,VER
20,313.5107146285714,325.22629221858926,VER
21,293.65483130589377,302.91109908262797,VER
22,258.12527726547506,258.90980435047334,VER
23,122.59649278920355,121.47247425908857,NOR
24,250.91092579434164,247.01432597337296,NOR
