Minisector,NOR,LAW,Fastest
0,308.7483833936842,314.86271990891356,LAW
1,237.4555419954978,216.87211483078238,NOR
2,131.60708444437446,128.19964133169324,NOR
3,221.2294575021068,213.1982028158373,NOR
4,263.19557973620965,261.8467103515844,NOR
5,293.0485408498997,290.5954955962437,NOR
6,306.88244428800004,308.62918256747696,LAW
7,288.16145854306876,283.69659987606445,NOR
8,173.43759604512823,172.038437818658,NOR
9,231.95171803999997,242.5235644381557,LAW
10,274.4481729974026,272.0155057638083,NOR
11,273.2396708888889,257.35020338147183,NOR
12,211.98770985165945,199.4364780418612,NOR
13,126.42347701655558,122.5852075127526,NOR
14,117.87658424792463,123.81311303960516,LAW
15,169.6493225075132,152.66033561943487,NOR
16,118.69253342520058,131.39445971942632,LAW
17,225.2692024204287,221.60445983758515,NOR
18,198.59803118814816,165.69278032462447,NOR
19,158.43176916292776,167.41432929756664,LAW
20,245.67524404994708,246.9280691723017,LAW
21,274.37428763247027,274.7641436864698,LAW
22,291.2295903756254,295.74201092131165,LAW
23,301.0652677942857,315.01431447215685,LAW
24,306.87479513801935,327.6619205710204,LAW
