Minisector,HAM,PER,Fastest
0,257.01002321927496,257.607860972715,PER
1,219.5214556417249,203.39409099066654,HAM
2,222.62552729446168,217.84086896457652,HAM
3,262.0668037610936,260.2921781719747,HAM
4,271.2928571936508,271.41911138475893,PER
5,227.36161983443483,209.3041174391767,HAM
6,98.95305988530684,90.61182202660753,HAM
7,176.42323878478302,194.33364385254237,PER
8,275.3923833267186,282.3112782791717,PER
9,302.21799457684085,310.94451362154405,PER
10,311.9417944916567,323.11944224878016,PER
11,309.9448530196079,309.85379694837513,HAM
12,109.50505600517165,103.71326912356271,HAM
13,204.38135895624995,221.25306108393798,PER
14,275.19123905064464,282.22774262129514,PER
15,296.4771640407554,302.8729676098316,PER
16,236.12682350083958,197.81728785118617,HAM
17,125.11095914788334,123.45079919101437,HAM
18,152.2784663151122,159.50999710176612,PER
19,255.85914020526903,263.3450673943982,PER
20,154.02190710032937,141.23107695407867,HAM
21,131.5010691536034,126.96214596781708,HAM
22,204.83444469719197,211.61665111296625,PER
23,205.1563042625892,189.64179552404033,HAM
24,170.2845628896982,164.62538412716935,HAM
25,230.66108822464582,,HAM
