Minisector,RAI,KVY,Fastest
0,327.1565733116949,338.06706171951225,KVY
1,225.13508566936534,268.7070096916104,KVY
2,130.93833792289976,125.28420576371822,RAI
3,221.0607316474277,216.9801587301587,RAI
4,265.84619328164945,262.75478294581364,RAI
5,297.3308627696749,289.0152057743316,RAI
6,318.82876862316226,305.0,RAI
7,276.8146889711096,290.541238147081,KVY
8,166.214400694095,177.413174427975,KVY
9,241.21644755087718,240.94585182567266,RAI
10,275.6758429298261,271.5865671705156,RAI
11,260.9537729083216,262.1324263802954,KVY
12,204.04970972161323,204.13717106512965,KVY
13,125.1846751342852,134.39721586166712,KVY
14,123.94956658677084,124.55825127362199,KVY
15,163.0820101812421,171.42809348685583,KVY
16,121.87363151546364,122.39316896268257,KVY
17,231.57772808776204,228.80362927434516,RAI
18,176.61885939669517,195.45455003471184,KVY
19,164.32394896135122,160.1809553498434,RAI
20,249.3042778741994,246.57066127694148,RAI
21,277.80041093605297,276.9137472789213,RAI
22,295.99580674833777,291.52834986584986,RAI
23,312.0668498426288,302.8144580434759,RAI
24,323.02867727800464,308.805857721165,RAI
25,,310.0,KVY
