Minisector,STR,ALO,Fastest
0,274.56225068046894,275.75056561834214,ALO
1,297.1445657859048,298.0542425409862,ALO
2,294.80568935045204,294.7155440291536,STR
3,176.2508176486816,166.11476183873037,STR
4,116.61018292718832,123.42649724052842,ALO
5,234.95265242119825,235.75308813024037,ALO
6,280.91240261750204,280.9582671162808,ALO
7,295.2700168700416,292.5747436538068,STR
8,185.7462454297584,182.60715887527783,STR
9,147.56374762394205,146.51173631596356,STR
10,248.70655303582208,253.0134062837704,ALO
11,287.75682053874397,289.58144182718615,ALO
12,298.2351981407115,297.4649403009524,STR
13,280.4117316274538,287.21745228425226,ALO
14,294.28167499304453,297.29870251359307,ALO
15,296.9374294484656,299.06310814232637,ALO
16,249.84557809181618,258.18388973184267,ALO
17,227.94900864088055,232.3294554871264,ALO
18,275.809336738244,276.46062456,ALO
19,297.61009760542737,297.31070483035876,STR
20,300.2708797688889,296.5220029555556,STR
21,241.51309084980613,241.26759891365708,STR
22,261.3047725541709,263.0877730889594,ALO
23,142.32495742548346,139.88943678775857,STR
24,210.96995479190429,216.8603338884127,ALO
