Minisector,PER,GAS,Fastest
0,273.88908683174606,273.6565886489591,PER
1,302.1081444453648,298.37691579469333,PER
2,323.183088,310.1819441777778,PER
3,335.8351560666667,316.424479,PER
4,341.26027775999995,320.2401960336134,PER
5,341.34294598052554,321.0041669019608,PER
6,227.9465304888889,210.05469160834983,PER
7,107.80427886562995,108.71982469054171,GAS
8,175.7975181088025,183.8314342559291,GAS
9,263.156645909387,263.99636396158706,GAS
10,297.83148124444443,291.6379381894737,PER
11,184.29012352086772,167.87999089179516,PER
12,99.22143657824846,98.27462372201754,PER
13,115.82939076063491,116.06462531906068,GAS
14,223.5447876184393,221.54230697002683,PER
15,188.8117555809524,188.1714283809524,PER
16,231.0904535303316,224.59983665764491,PER
17,180.39132946793652,181.30281800126983,GAS
18,237.45274217144444,241.3590965128022,GAS
19,276.66966772899997,281.8323300170426,GAS
20,253.64356242424245,250.72058016507938,PER
21,153.84864342552382,145.45330243861113,PER
22,97.71943521274889,97.322523287899,PER
23,127.9215712907983,126.91939335633148,PER
24,225.36659674868662,227.53342216227318,GAS
25,254.58333333333331,,PER
