Minisector,BOT,ALO,Fastest
0,327.9732138320347,319.57644961656314,BOT
1,340.5954646058957,329.29829541818185,BOT
2,344.20439683780097,328.28195738781335,BOT
3,206.48578203346202,194.93752459666177,BOT
4,115.14234495541889,118.77996327121137,ALO
5,265.9486485235215,264.24268200070543,BOT
6,301.1152168811594,299.7723960471336,BOT
7,311.3081520231884,313.50510814236077,ALO
8,279.0475345382716,280.9530053147545,ALO
9,139.91546375384615,137.56777420428602,BOT
10,219.67139000702593,217.36867723111848,BOT
11,208.5343473927171,207.48379845772294,BOT
12,191.00683265824966,190.89197590883475,BOT
13,266.92239716684304,263.81026729251704,BOT
14,301.25424112332763,302.9189082900339,ALO
15,311.82536217971017,317.40688408115943,ALO
16,272.2109422544832,253.88072375451438,BOT
17,195.20198307724866,198.87322236444047,ALO
18,267.80642064146366,268.1602489134157,ALO
19,306.28768055652176,303.57504891767513,BOT
20,316.62826073043476,318.48026339774003,ALO
21,308.87777964444444,298.748166784,BOT
22,203.89858358755293,202.725227827451,BOT
23,261.7476692575897,260.0686540920605,BOT
24,305.501999104,300.30104133333333,BOT
25,319.3833322666667,,BOT
