Minisector,PIA,VER,Fastest
0,280.6564407901821,276.0287763428403,PIA
1,144.48253152200343,147.99851913129834,VER
2,173.04353611917287,166.9763838316553,PIA
3,245.16478699359305,244.43968898652577,PIA
4,265.8651483679481,273.2061079636363,VER
5,233.62794727009523,228.01888613523562,PIA
6,213.67992098344817,205.00348028098122,PIA
7,145.680931758557,137.8955803504291,PIA
8,226.58418932465457,228.1244803181318,VER
9,297.890006321207,297.64619835428573,PIA
10,319.68921594472,320.9629482165742,VER
11,317.5795049584541,320.09323303588263,VER
12,310.40809946326823,314.7819117230252,VER
13,305.1647382829329,308.8087990582857,VER
14,124.90515872921749,119.14870411885994,PIA
15,119.93053665269564,112.39188232784228,PIA
16,104.09452662443785,105.03507520287592,VER
17,239.29787287238244,245.42280104093837,VER
18,303.64756201379316,304.2624231367573,VER
19,322.11592244705884,318.8641891172581,PIA
20,321.85768775306826,317.06704647155755,PIA
21,315.4691607828571,315.1741074285714,PIA
22,115.42304142454945,125.85441146596243,VER
23,210.11380937477773,207.34944258474852,PIA
24,273.6965995699501,264.21302229546666,PIA
25,286.2,,PIA
