Minisector,PIA,ALO,Fastest
0,293.14651088221575,293.8508191638481,ALO
1,304.0032352685939,301.6260670778118,PIA
2,307.84989511350136,306.243839625731,PIA
3,187.21917168241347,183.40262557989172,PIA
4,210.29955680737325,207.02826796710295,PIA
5,206.29371939309598,209.60928856306913,ALO
6,263.4265671771518,264.1131652405195,ALO
7,257.8325580939122,250.6044299679293,PIA
8,214.39116911458973,213.14044684745443,PIA
9,211.90685509977828,195.15924742432878,PIA
10,142.091069071722,142.77928356834605,ALO
11,203.67793685933808,199.34346937187323,PIA
12,197.02253884834656,187.9212177932913,PIA
13,252.75282963555557,252.85002184982457,ALO
14,182.8349826847129,177.38823129250807,PIA
15,231.93043520693567,241.3084673235907,ALO
16,281.52753779389326,282.296333958991,ALO
17,290.1623748407326,291.3230257942857,ALO
18,284.6308645488293,281.8128821109251,PIA
19,271.053720520381,263.30659350340807,PIA
20,271.93724757735635,261.93741788054336,PIA
21,265.95093818512834,268.4507413090909,ALO
22,235.42306064375984,219.71039536561148,PIA
23,206.72607466839617,206.91551775564625,ALO
24,269.36683421164577,269.5511629424017,ALO
