Minisector,ANT,LAW,Fastest
0,320.17039247686273,317.16313094276336,ANT
1,323.9419358127242,314.05549152969695,ANT
2,161.66640293208158,170.97077715600102,LAW
3,159.3477954855914,159.1767163019174,ANT
4,194.22609011343448,197.16467117894973,LAW
5,149.63467008977483,147.50750669025004,ANT
6,206.2544232442081,200.99334337413865,ANT
7,272.2895687169925,271.62480112818946,ANT
8,289.70368407578945,292.41948953641736,LAW
9,278.7137072643386,286.0664060286731,LAW
10,237.6182143674459,235.7208032036281,ANT
11,247.2904793457733,240.07637108627725,ANT
12,225.8861210427211,214.6930665378361,ANT
13,185.74964730166656,178.8174366747571,ANT
14,138.70634719798144,137.5765153889324,ANT
15,133.41608617363485,131.7844608165071,ANT
16,197.29916379171726,201.6836868366206,LAW
17,269.4371289502786,267.291248913157,ANT
18,198.93589049263156,198.0714452581778,ANT
19,110.09296360173407,114.23706241671694,LAW
20,206.67161573714284,208.41863267271611,LAW
21,183.42452413714287,182.16305151156175,ANT
22,245.73947459368424,251.81062805033187,LAW
23,278.96621904792937,277.21429495297497,ANT
24,310.16656978225956,304.10391253768705,ANT
25,323.76500096,314.42916693333336,ANT
