Minisector,PIA,HAD,Fastest
0,297.5762582176242,303.2036691014346,HAD
1,208.19449525388035,198.70778515216966,PIA
2,149.59409073129706,147.19650839313366,PIA
3,227.43642504557914,219.47300674435817,PIA
4,175.30418460947067,167.60242832765616,PIA
5,193.80207381057363,177.49527648877515,PIA
6,255.83274761461124,257.62146294528253,HAD
7,277.92030356888887,281.4229391845926,HAD
8,281.68782851116424,289.6825733999713,HAD
9,266.61661450756304,259.94574729611867,PIA
10,256.28666653333335,245.48870629802022,PIA
11,250.30393440570964,243.49366480772915,PIA
12,221.7428531699499,206.6557013332038,PIA
13,134.77170402498425,133.8382738774304,PIA
14,147.30004319389707,137.23257797486568,PIA
15,179.19244196871986,186.19123838428268,HAD
16,252.16569514013585,252.36100108859426,HAD
17,239.3493584817166,222.25061884749206,PIA
18,115.68978669350568,115.30931536431927,PIA
19,201.75015957372773,202.9148742849902,HAD
20,207.4687658144222,201.9367316593858,PIA
21,239.67969958944164,242.65870210201058,HAD
22,266.40831538190116,267.2608735414379,HAD
23,282.02587450600123,287.7405641096353,HAD
24,292.8033927583332,298.26391656296295,HAD
25,295.2812504,,PIA
