Minisector,PIA,OCO,Fastest
0,289.808713094133,293.78729078864274,OCO
1,296.1338816327485,303.4119356554522,OCO
2,290.07780263818023,278.2989846462574,PIA
3,116.84701955807817,108.71268933815585,PIA
4,223.70772026008657,223.30668290799687,PIA
5,274.320761001864,273.0929154149083,PIA
6,212.0763075044898,198.69936757154062,PIA
7,161.81510386512207,161.77819033928358,PIA
8,207.21876556364936,199.37907735368773,PIA
9,216.88550014589313,206.25602722658007,PIA
10,121.13784789768569,113.46048486061773,PIA
11,229.76969144495112,227.5291543536277,PIA
12,117.98875618291072,118.05352825727417,OCO
13,223.65769614160342,223.10504715409036,PIA
14,276.78290679674893,278.64291072080806,OCO
15,218.77189154428277,206.83645579283208,PIA
16,192.31032095000995,180.3846841009009,PIA
17,247.3642064378999,249.6789361457557,OCO
18,206.06931849687004,187.85837110004437,PIA
19,183.10139689452555,176.09106762509887,PIA
20,262.4616007873775,265.5717988668178,OCO
21,290.9003041288889,294.0461357049758,OCO
22,171.7573106120513,164.45737578889663,PIA
23,210.41902130514285,215.4524367501654,OCO
24,267.5040450107346,277.4410452544772,OCO
25,281.92857234285714,,PIA
