Minisector,LEC,RIC,Fastest
0,279.5145243755026,285.25318891462666,RIC
1,296.16210573468095,302.7413189483242,RIC
2,294.3353748458639,297.1689093665563,RIC
3,176.12253862179443,169.98044841984634,LEC
4,125.2479519723836,122.66946412765486,LEC
5,243.1301568893879,239.35025107715305,LEC
6,283.3085489420254,294.54039313540994,RIC
7,292.75350761997265,307.3192816141858,RIC
8,180.7603295981117,180.31408872907951,LEC
9,148.31398930360135,145.96622343806857,LEC
10,257.7355024071562,257.9589110443643,RIC
11,291.5359474753928,296.98881321604273,RIC
12,298.3617840626742,310.1418117976618,RIC
13,278.2234602158759,276.56255630719966,LEC
14,296.52566917759503,300.780853568254,RIC
15,301.63230717490575,305.76526038947713,RIC
16,247.9906732495238,254.64394426009852,RIC
17,222.7623809456892,220.12477896996117,LEC
18,276.94120414814813,284.68301345641027,RIC
19,298.5275718789763,317.86962249143556,RIC
20,302.7988329386667,334.70195565714283,RIC
21,231.05344035255163,225.69061493530384,LEC
22,262.88524697142856,256.5545982896552,LEC
23,142.31006301653457,143.66635186141158,RIC
24,225.07385734517297,217.7139082926824,LEC
25,,265.18888888888887,RIC
