Minisector,VER,MAG,Fastest
0,291.5421192389417,285.8623621657416,VER
1,303.06282283318563,296.34627388903664,VER
2,308.19947701125545,301.17418147817733,VER
3,309.5580247308642,298.9176599012063,VER
4,204.03522786349205,192.27141248231163,VER
5,213.41766691294782,209.30381682590476,VER
6,264.6188975987586,261.21365114248505,VER
7,270.6604552290899,262.90885514285713,VER
8,191.95796896218744,183.62919032622148,VER
9,156.25803784534932,149.61357700609227,VER
10,186.10747599938696,178.3606793930979,VER
11,258.87895426053313,255.44225576989274,VER
12,253.865617442643,244.8597247987011,VER
13,230.91774928422362,217.52737568914287,VER
14,272.35922128269675,263.46850041168506,VER
15,164.69973681265225,168.22713458467533,MAG
16,215.25850129628867,212.41959479991783,VER
17,241.53443641154325,238.0595625015873,VER
18,137.18489649543858,130.5147294300534,VER
19,237.17157252551112,242.28355512948733,MAG
20,276.7473985077414,274.40324040997734,VER
21,246.36963471559284,252.58171125807877,MAG
22,142.8267935401888,136.01938816439264,VER
23,213.0007978353131,197.27511059633235,VER
24,268.6408946303548,262.08119371074963,VER
25,282.47142765714284,278.47499946666665,VER
