Minisector,HUL,GAS,Fastest
0,276.95138717680265,281.5261190722689,GAS
1,119.06645050835398,122.373888161434,GAS
2,156.35378112211103,159.74529465477474,GAS
3,206.78054970243696,208.11331198429508,GAS
4,160.07808659753087,158.3859216190444,HUL
5,243.95810490049777,240.8568425237423,HUL
6,234.24623362040523,206.51539784347827,HUL
7,132.41805974639456,137.11830743746899,GAS
8,225.86319306666667,232.46842161403507,GAS
9,281.5038229325001,274.8908214998788,HUL
10,290.7774880806723,284.5648434,HUL
11,145.07131467449778,146.2136963476652,GAS
12,213.3867398787879,220.17783508752836,GAS
13,270.7303023024158,270.0218144627451,HUL
14,262.63380065185186,254.64824465964912,HUL
15,98.54246720630812,99.51934263776809,GAS
16,212.958575591342,225.29843830095237,GAS
17,267.66826418939775,272.0133019998867,GAS
18,300.3513014761905,290.87391389577607,HUL
19,316.2380947809524,300.0695313333333,HUL
20,324.9722220088889,304.5872223288889,HUL
21,284.4876538666667,272.0131436499743,HUL
22,148.96979970597266,155.75221763085702,GAS
23,234.46016249242817,240.08750130526315,GAS
24,284.39306630812325,275.9322922,HUL
